date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals,away_avg_goals,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2014-05-31,Norway,Russia,1.0,1.0,Friendly,Oslo,Norway,False,55,18,0.8,2.0,1,2,2,0,1,0
2014-05-31,Portugal,Greece,0.0,0.0,Friendly,Oeiras,Portugal,False,3,10,0.0,0.0,0,0,0,0,0,0
2014-06-01,Sweden,Belgium,0.0,2.0,Friendly,Solna,Sweden,False,25,12,1.0,0.8,2,1,2,0,0,0
2014-06-03,Czech Republic,Austria,1.0,2.0,Friendly,Olomouc,Czech Republic,False,0,40,0.8,0.8,0,0,0,0,2,1
2014-06-04,Gibraltar,Malta,1.0,0.0,Friendly,Faro,Portugal,True,205,128,0.4,1.4,0,0,2,1,1,0
2014-06-04,Hungary,Albania,1.0,0.0,Friendly,Budapest,Hungary,False,45,70,0.6,0.8,0,1,1,1,1,0
2014-06-04,Iceland,Estonia,1.0,0.0,Friendly,Reykjavík,Iceland,False,58,93,0.4,1.2,0,1,2,1,1,2
2014-06-04,Italy,Luxembourg,1.0,1.0,Friendly,Perugia,Italy,False,9,112,0.0,0.2,0,0,1,1,1,0
2014-06-04,Netherlands,Wales,2.0,0.0,Friendly,Amsterdam,Netherlands,False,15,47,0.0,0.4,0,1,1,0,0,0
2014-06-06,Germany,Armenia,6.0,1.0,Friendly,Mainz,Germany,False,2,38,0.0,0.0,0,0,0,1,1,0
2014-06-06,Poland,Lithuania,2.0,1.0,Friendly,Gdańsk,Poland,False,69,106,0.8,0.2,2,1,1,1,1,1
2014-06-07,Hungary,Kazakhstan,3.0,0.0,Friendly,Budapest,Hungary,False,47,124,0.8,0.8,1,0,1,0,1,1
2014-06-08,San Marino,Albania,0.0,3.0,Friendly,Serravalle,San Marino,False,207,66,0.0,0.0,0,1,0,2,0,0
2014-06-10,Republic of Ireland,Portugal,1.0,5.0,Friendly,East Rutherford,United States,True,70,4,0.4,0.8,0,0,2,0,1,1
2014-06-13,Spain,Netherlands,1.0,5.0,FIFA World Cup,Salvador,Brazil,True,1,15,0.2,0.0,1,1,0,1,0,0
2014-06-14,England,Italy,1.0,2.0,FIFA World Cup,Manaus,Brazil,True,10,9,0.2,0.0,1,0,0,1,0,2
2014-06-16,Germany,Portugal,4.0,0.0,FIFA World Cup,Salvador,Brazil,True,2,4,1.2,0.2,1,1,0,0,1,1
2014-06-20,Switzerland,France,2.0,5.0,FIFA World Cup,Salvador,Brazil,True,6,17,0.4,0.4,0,2,0,0,1,0
2014-06-22,Belgium,Russia,1.0,0.0,FIFA World Cup,Rio de Janeiro,Brazil,True,11,19,1.4,0.2,2,2,0,0,0,1
2014-07-04,France,Germany,0.0,1.0,FIFA World Cup,Rio de Janeiro,Brazil,True,17,2,2.2,0.4,3,2,0,0,0,1
2014-09-03,Denmark,Turkey,1.0,2.0,Friendly,Odense,Denmark,False,26,32,0.6,0.6,1,3,1,0,1,0
2014-09-03,England,Norway,1.0,0.0,Friendly,London,England,False,20,53,0.4,0.4,1,1,1,2,0,2
2014-09-03,Latvia,Armenia,2.0,0.0,Friendly,Riga,Latvia,False,100,36,0.4,0.4,1,0,1,2,1,0
2014-09-03,Russia,Azerbaijan,4.0,0.0,Friendly,Khimki,Russia,False,23,73,0.8,0.4,2,0,1,0,1,0
2014-09-03,Ukraine,Moldova,1.0,0.0,Friendly,Kyiv,Ukraine,False,22,99,0.0,0.0,0,1,0,3,0,0
