date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2023-11-16,Cyprus,Spain,1.0,3.0,UEFA Euro qualification,Limassol,Cyprus,False,124,8,0.2,3.2,4.0,0.2,0,4,5,0,0,1
2023-11-16,Georgia,Scotland,2.0,2.0,UEFA Euro qualification,Tbilisi,Georgia,False,76,34,1.6,1.4,2.4,1.8,2,2,3,3,0,0
2023-11-16,Estonia,Austria,0.0,2.0,UEFA Euro qualification,Tallinn,Estonia,False,118,25,0.2,1.8,3.2,1.0,0,3,4,1,1,1
2023-11-16,Azerbaijan,Sweden,3.0,0.0,UEFA Euro qualification,Baku,Azerbaijan,False,120,23,0.6,2.0,1.6,1.4,1,2,3,2,1,1
2023-11-16,Bulgaria,Hungary,2.0,2.0,UEFA Euro qualification,Sofia,Bulgaria,False,84,30,0.6,1.8,1.6,1.0,0,3,3,0,2,2
2023-11-16,Montenegro,Lithuania,2.0,0.0,UEFA Euro qualification,Podgorica,Montenegro,False,70,134,1.2,1.4,2.0,1.8,1,1,2,2,2,2
2023-11-16,Liechtenstein,Portugal,0.0,2.0,UEFA Euro qualification,Vaduz,Liechtenstein,False,200,6,0.2,3.8,2.4,0.4,0,5,5,0,0,0
2023-11-16,Luxembourg,Bosnia and Herzegovina,4.0,1.0,UEFA Euro qualification,Luxembourg,Luxembourg,False,87,63,1.2,0.8,2.4,1.8,2,2,2,3,1,0
2023-11-16,Slovakia,Iceland,4.0,2.0,UEFA Euro qualification,Bratislava,Slovakia,False,50,67,1.4,1.4,0.8,1.0,3,2,2,2,0,1
2023-11-17,England,Malta,2.0,0.0,UEFA Euro qualification,London,England,False,4,171,3.6,0.4,0.6,2.0,4,1,0,4,1,0
2023-11-17,Italy,North Macedonia,5.0,2.0,UEFA Euro qualification,Rome,Italy,False,9,66,2.2,1.2,1.4,2.2,3,2,1,2,1,1
