date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded
2004-06-20,Russia,Greece,2.0,1.0,UEFA Euro,Faro,Portugal,True,31,35,1.5,2.0,1.5,1.5
2004-06-21,Croatia,England,2.0,4.0,UEFA Euro,Lisbon,Portugal,True,20,13,1.75,2.25,1.6,1.8
2004-06-21,Switzerland,France,1.0,3.0,UEFA Euro,Coimbra,Portugal,True,47,2,0.3333333333333333,1.6666666666666667,2.2,1.6
2004-06-22,Denmark,Sweden,2.0,2.0,UEFA Euro,Porto,Portugal,True,15,18,1.0,1.0,1.25,1.75
2004-06-22,Italy,Bulgaria,2.0,1.0,UEFA Euro,Guimarães,Portugal,True,10,40,1.4,0.6,0.75,2.75
2004-06-23,Germany,Czech Republic,1.0,2.0,UEFA Euro,Lisbon,Portugal,True,8,0,1.4,1.0,1.4,0.8
2004-06-23,Netherlands,Latvia,3.0,0.0,UEFA Euro,Braga,Portugal,True,5,53,2.8,1.2,0.5,2.5
2004-06-24,Portugal,England,2.0,2.0,UEFA Euro,Lisbon,Portugal,False,22,13,1.8,0.8,2.0,2.2
2004-06-25,France,Greece,0.0,1.0,UEFA Euro,Lisbon,Portugal,True,2,35,1.8,0.8,1.3333333333333333,1.0
2004-06-26,Sweden,Netherlands,0.0,0.0,UEFA Euro,Faro,Portugal,True,18,5,1.8,0.8,0.8,1.0
2004-06-27,Czech Republic,Denmark,3.0,0.0,UEFA Euro,Porto,Portugal,True,0,15,1.6,1.0,1.0,1.8
2004-06-30,Portugal,Netherlands,2.0,1.0,UEFA Euro,Lisbon,Portugal,False,22,5,1.6,1.0,0.6,1.4
2004-07-01,Greece,Czech Republic,1.0,0.0,UEFA Euro,Porto,Portugal,True,35,0,1.0,0.5,1.4,1.0
2004-07-04,Portugal,Greece,0.0,1.0,UEFA Euro,Lisbon,Portugal,False,22,35,1.4,0.8,1.25,0.75
2008-06-07,Portugal,Turkey,2.0,0.0,UEFA Euro,Geneva,Switzerland,True,11,20,1.4,0.8,0.5,0.75
2008-06-07,Switzerland,Czech Republic,0.0,1.0,UEFA Euro,Basel,Switzerland,False,44,0,0.25,1.5,1.6,0.8
2008-06-08,Germany,Poland,2.0,0.0,UEFA Euro,Klagenfurt,Austria,True,5,28,1.4,1.0,0.0,2.0
2008-06-08,Austria,Croatia,0.0,1.0,UEFA Euro,Vienna,Austria,False,92,15,0.0,1.0,0.75,0.5
2008-06-09,Netherlands,Italy,3.0,0.0,UEFA Euro,Berne,Switzerland,True,10,3,2.8,0.8,0.6,1.0
2008-06-09,Romania,France,0.0,0.0,UEFA Euro,Zürich,Switzerland,True,12,7,0.25,1.0,1.8,1.4
2008-06-10,Greece,Sweden,0.0,2.0,UEFA Euro,Salzburg,Austria,True,8,30,0.6666666666666666,1.0,1.4,1.4
2008-06-10,Spain,Russia,4.0,1.0,UEFA Euro,Innsbruck,Austria,True,4,24,1.4,1.0,0.4,2.4
2008-06-11,Czech Republic,Portugal,1.0,3.0,UEFA Euro,Geneva,Switzerland,True,0,11,1.6,1.6,1.4,0.8
2008-06-11,Switzerland,Turkey,1.0,2.0,UEFA Euro,Basel,Switzerland,False,44,20,0.4,1.6,0.8,0.8
2008-06-12,Croatia,Germany,2.0,1.0,UEFA Euro,Klagenfurt,Austria,True,15,5,1.8,2.0,0.6,1.4
2008-06-12,Austria,Poland,1.0,1.0,UEFA Euro,Vienna,Austria,False,92,28,0.5,1.0,0.5,1.5
2008-06-13,Italy,Romania,1.0,1.0,UEFA Euro,Zürich,Switzerland,True,3,12,1.6,0.8,1.0,1.4
2008-06-13,Netherlands,France,4.0,1.0,UEFA Euro,Berne,Switzerland,True,10,7,2.4,0.8,1.6,1.6
2008-06-14,Greece,Russia,0.0,1.0,UEFA Euro,Salzburg,Austria,True,8,24,0.5,1.0,0.6,1.8
2008-06-14,Sweden,Spain,1.0,2.0,UEFA Euro,Innsbruck,Austria,True,30,4,1.6,1.0,1.8,1.4
2008-06-15,Switzerland,Portugal,2.0,0.0,UEFA Euro,Basel,Switzerland,False,44,11,0.8,1.2,1.4,1.0
2008-06-15,Turkey,Czech Republic,3.0,2.0,UEFA Euro,Geneva,Switzerland,True,20,0,0.8,2.0,1.6,1.4
2008-06-16,Austria,Germany,0.0,1.0,UEFA Euro,Vienna,Austria,False,92,5,0.3333333333333333,1.0,0.4,1.2
2008-06-16,Poland,Croatia,0.0,1.0,UEFA Euro,Klagenfurt,Austria,True,28,15,0.0,1.0,0.8,0.4
2008-06-17,France,Italy,0.0,2.0,UEFA Euro,Zürich,Switzerland,True,7,3,1.2,1.2,0.6,1.0
2008-06-17,Netherlands,Romania,2.0,0.0,UEFA Euro,Berne,Switzerland,True,10,12,2.8,0.8,1.0,1.6
2008-06-18,Greece,Spain,1.0,2.0,UEFA Euro,Salzburg,Austria,True,8,4,0.6,1.2,1.8,1.4
2008-06-18,Russia,Sweden,2.0,0.0,UEFA Euro,Innsbruck,Austria,True,24,30,1.6,1.6,1.2,1.4
2008-06-19,Portugal,Germany,2.0,3.0,UEFA Euro,Basel,Switzerland,True,11,5,1.6,1.4,1.0,1.4
2008-06-20,Croatia,Turkey,1.0,1.0,UEFA Euro,Vienna,Austria,True,15,20,1.4,2.2,1.0,0.8
2008-06-21,Netherlands,Russia,1.0,3.0,UEFA Euro,Basel,Switzerland,True,10,24,2.6,0.8,1.0,1.6
2008-06-22,Spain,Italy,0.0,0.0,UEFA Euro,Vienna,Austria,True,4,3,1.2,0.8,0.6,1.0
2008-06-25,Germany,Turkey,3.0,2.0,UEFA Euro,Basel,Switzerland,True,5,20,1.6,1.2,1.4,1.4
2008-06-26,Russia,Spain,0.0,3.0,UEFA Euro,Vienna,Austria,True,24,4,1.4,2.0,1.6,0.8
2008-06-29,Germany,Spain,0.0,1.0,UEFA Euro,Vienna,Austria,True,5,4,1.4,1.2,1.6,0.6
2012-06-08,Poland,Greece,1.0,1.0,UEFA Euro,Warsaw,Poland,False,62,15,0.5,1.0,1.2,0.8
2012-06-08,Russia,Czech Republic,4.0,1.0,UEFA Euro,Wrocław,Poland,True,13,0,2.2,1.6,1.2,1.8
2012-06-09,Germany,Portugal,1.0,0.0,UEFA Euro,Lviv,Ukraine,True,3,10,1.4,1.0,1.2,1.2
2012-06-09,Netherlands,Denmark,0.0,1.0,UEFA Euro,Kharkiv,Ukraine,True,4,9,2.0,1.0,0.6,1.8
2012-06-10,Republic of Ireland,Croatia,1.0,3.0,UEFA Euro,Poznań,Poland,True,18,8,1.0,3.0,1.2,0.6
2012-06-10,Spain,Italy,1.0,1.0,UEFA Euro,Gdańsk,Poland,True,1,12,1.4,0.8,0.6,0.8
2012-06-11,France,England,1.0,1.0,UEFA Euro,Donetsk,Ukraine,True,14,6,1.0,1.2,2.0,2.0
2012-06-11,Ukraine,Sweden,2.0,1.0,UEFA Euro,Kyiv,Ukraine,False,52,17,2.0,1.0,1.2,1.4
2012-06-12,Greece,Czech Republic,1.0,2.0,UEFA Euro,Wrocław,Poland,True,15,0,0.6,1.4,1.2,1.8
2012-06-12,Poland,Russia,1.0,1.0,UEFA Euro,Warsaw,Poland,False,62,13,0.6666666666666666,1.0,1.2,1.6
2012-06-13,Denmark,Portugal,2.0,3.0,UEFA Euro,Lviv,Ukraine,True,9,10,1.0,1.6,1.4,1.6
2012-06-13,Netherlands,Germany,1.0,2.0,UEFA Euro,Kharkiv,Ukraine,True,4,3,1.6,1.4,1.4,1.0
2012-06-14,Spain,Republic of Ireland,4.0,0.0,UEFA Euro,Gdańsk,Poland,True,1,18,2.0,0.4,0.0,4.0
2012-06-14,Italy,Croatia,1.0,1.0,UEFA Euro,Poznań,Poland,True,12,8,1.4,0.8,1.2,0.4
2012-06-15,Sweden,England,2.0,3.0,UEFA Euro,Kyiv,Ukraine,True,17,6,1.6,1.0,2.2,1.8
2012-06-15,Ukraine,France,0.0,2.0,UEFA Euro,Donetsk,Ukraine,False,52,14,1.0,1.5,1.6,1.4
2012-06-16,Greece,Russia,1.0,0.0,UEFA Euro,Warsaw,Poland,True,15,13,0.6,1.4,1.2,1.4
2012-06-16,Poland,Czech Republic,0.0,1.0,UEFA Euro,Wrocław,Poland,False,62,0,0.5,1.0,1.4,1.6
2012-06-17,Denmark,Germany,1.0,2.0,UEFA Euro,Lviv,Ukraine,True,9,3,1.0,1.8,1.8,1.2
2012-06-17,Portugal,Netherlands,2.0,1.0,UEFA Euro,Kharkiv,Ukraine,True,10,4,1.6,1.2,0.6,1.0
