date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded
2021-06-21,Finland,Belgium,0.0,2.0,UEFA Euro,Saint Petersburg,Russia,True,54,1,0.0,2.0,2.4,0.8
2021-06-21,Netherlands,North Macedonia,3.0,0.0,UEFA Euro,Amsterdam,Netherlands,False,16,62,1.8,1.0,0.6666666666666666,2.6666666666666665
2021-06-21,Ukraine,Austria,0.0,1.0,UEFA Euro,Bucharest,Romania,True,24,23,0.4,1.2,0.5,1.0
2021-06-22,Scotland,Croatia,1.0,3.0,UEFA Euro,Glasgow,Scotland,False,44,14,1.0,1.4,1.4,1.0
2021-06-22,England,Czech Republic,1.0,0.0,UEFA Euro,London,England,False,4,0,1.0,0.6,0.8,0.6
2021-06-23,Portugal,France,2.0,2.0,UEFA Euro,Budapest,Hungary,True,5,2,1.0,0.6,0.8,1.4
2021-06-23,Sweden,Poland,3.0,2.0,UEFA Euro,Saint Petersburg,Russia,True,18,21,1.6,1.2,1.0,1.0
2021-06-23,Spain,Slovakia,5.0,0.0,UEFA Euro,Seville,Spain,False,6,36,2.0,0.2,0.8,2.2
2021-06-23,Germany,Hungary,2.0,2.0,UEFA Euro,Munich,Germany,False,12,37,2.0,1.2,1.6666666666666667,1.0
2021-06-26,Italy,Austria,2.0,1.0,UEFA Euro,London,England,True,7,23,2.2,0.2,0.6,1.2
2021-06-26,Wales,Denmark,0.0,4.0,UEFA Euro,Amsterdam,Netherlands,True,17,10,1.4,1.4,1.4,1.2
2021-06-27,Netherlands,Czech Republic,0.0,2.0,UEFA Euro,Budapest,Hungary,True,16,0,1.8,1.2,1.0,0.6
2021-06-27,Belgium,Portugal,1.0,0.0,UEFA Euro,Seville,Spain,True,1,5,0.8,1.2,1.4,1.2
2021-06-28,Croatia,Spain,3.0,5.0,UEFA Euro,Copenhagen,Denmark,True,14,6,1.2,1.8,1.4,1.4
2021-06-28,France,Switzerland,3.0,3.0,UEFA Euro,Bucharest,Romania,True,2,13,2.4,1.4,1.0,1.6
2021-06-29,England,Germany,2.0,0.0,UEFA Euro,London,England,False,4,12,1.0,0.4,1.0,1.2
2021-06-29,Sweden,Ukraine,1.0,2.0,UEFA Euro,Glasgow,Scotland,True,18,24,1.4,1.0,1.3333333333333333,2.0
2021-07-02,Switzerland,Spain,1.0,1.0,UEFA Euro,Saint Petersburg,Russia,True,13,6,1.6,1.0,1.4,1.6
2021-07-02,Belgium,Italy,1.0,2.0,UEFA Euro,Munich,Germany,True,1,7,1.0,1.2,1.4,1.4
2021-07-03,Ukraine,England,0.0,4.0,UEFA Euro,Rome,Italy,True,24,4,0.4,1.8,1.8,0.6
2021-07-03,Czech Republic,Denmark,1.0,2.0,UEFA Euro,Baku,Azerbaijan,True,0,10,0.8,2.0,1.8,0.8
2021-07-06,Italy,Spain,1.0,1.0,UEFA Euro,London,England,True,7,6,2.0,0.4,1.6,1.8
2021-07-07,England,Denmark,2.0,1.0,UEFA Euro,London,England,False,4,10,1.2,0.2,1.6,1.2
2021-07-11,England,Italy,1.0,1.0,UEFA Euro,London,England,False,4,7,1.2,0.4,1.2,1.4
